name,rating,Total Rating,Company Info,Highly Rated For,Critically Rated For
CESC,3.8,(258),Power | Kolkata +15 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Tega Industries,3.8,(258),Industrial Machinery | Kolkata +16 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Company Culture"
Metric Stream Infotech,3.2,(258),Internet | San Jose +3 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Infovision,3.5,(258),IT Services & Consulting | Dallas +7 other locations,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
Merit Data and Technology,3.6,(258),IT Services & Consulting | London +6 other locations,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Zypp Electric,3.9,(259),Internet | Gurgaon +8 other locations,"Salary & Benefits, Skill Development / Learning, Company Culture",
MSCI,4.0,(258),Financial Services | New York City +11 other locations,"Salary & Benefits, Company Culture, Work Life Balance",Promotions / Appraisal
Shah Technical Consultants,3.6,(258),Telecom | Mumbai +56 other locations,,"Promotions / Appraisal, Salary & Benefits, Job Security"
ESAF CO-OPERATIVE,3.6,(258),Financial Services | Thrissur +104 other locations,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
L&T Infrastructure Development Projects,4.2,(258),Engineering & Construction | Chennai +54 other locations,"Job Security, Skill Development / Learning, Company Culture",
GSH Group,4.2,(258),Facility Management Services | Parsippany +32 other locations,"Work Life Balance, Work Satisfaction, Company Culture",
Kalkine,4.1,(258),Financial Services | Sydney +2 other locations,"Work Life Balance, Company Culture, Salary & Benefits",
Health India Tpa Services,3.2,(258),Insurance | Mumbai +29 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Ang India,3.9,(258),Consumer Electronics & Appliances | Noida +35 other locations,"Job Security, Skill Development / Learning, Company Culture",
Louis Philippe,4.4,(258),Fashion & Textile | Bangalore/Bengaluru +68 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",
Avalara Technologies,3.6,(258),Software Product | Seattle +5 other locations,Work Life Balance,"Promotions / Appraisal, Job Security, Work Satisfaction"
PowerSchool India,3.7,(258),EdTech | Folsom +8 other locations,,Promotions / Appraisal
Tudip Technologies,3.1,(257),IT Services & Consulting | Pune +3 other locations,,"Work Life Balance, Job Security, Company Culture"
Adda 247,3.3,(257),EdTech | Gurgaon +17 other locations,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Aeronautical Development Agency,4.4,(257),Defence & Aerospace | Bangalore/Bengaluru +5 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",
Banco Products,3.5,(257),Auto Components | Vadodara/Baroda +18 other locations,,"Promotions / Appraisal, Company Culture, Job Security"
DSV - Global Transport and Logistics,4.0,(258),Logistics | Hedehusene +31 other locations,Work Life Balance,
Pfizer Healthcare india pvt lit,4.0,(257),Pharma | Mumbai +16 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Origo Commodities,3.6,(257),Agriculture | Gurgaon +49 other locations,,"Promotions / Appraisal, Job Security, Company Culture"
ONPASSIVE,3.1,(258),IT Services & Consulting | Orlando +8 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Madina Group,4.6,(257),Oil & Gas | Doha +18 other locations,"Skill Development / Learning, Work Satisfaction, Company Culture",
Tata Steel Long Products,3.9,,Iron & Steel | Barbil +17 other locations,"Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits"
Nitco,4.3,(256),Building Material | Mumbai +50 other locations,"Company Culture, Work Life Balance, Job Security",
Emami Paper Mills,4.2,(256),Pulp & Paper | Kolkata +7 other locations,"Job Security, Skill Development / Learning, Work Life Balance",
Adama,4.2,(256),Agro Chemicals | Tel Aviv +57 other locations,"Work Life Balance, Skill Development / Learning, Work Satisfaction",
doodleblue innovation,4.3,(257),IT Services & Consulting | Chennai +3 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",
Xtancia Technosoft,4.1,(256),Software Product | Chennai +2 other locations,"Salary & Benefits, Company Culture, Work Satisfaction",
TÜV Rheinland,4.0,(256),Law Enforcement & Security | Cologne +45 other locations,Work Life Balance,Promotions / Appraisal
doodleblue innovation,4.3,(257),IT Services & Consulting | Chennai +3 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",
Naaptol Online Shopping,3.6,(256),Internet | Mumbai +21 other locations,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Inventia Healthcare,4.0,(256),Pharma | Mumbai +8 other locations,"Company Culture, Job Security, Work Life Balance",
Emami Paper Mills,4.2,(256),Pulp & Paper | Kolkata +7 other locations,"Job Security, Skill Development / Learning, Work Life Balance",
McAfee,4.0,(256),Software Product | Santa Clara +9 other locations,"Work Life Balance, Company Culture, Salary & Benefits",
Wartsila,4.3,(256),Ports & Shipping | Helsinki +42 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
DRA Homes,4.6,(256),Real Estate | Chennai +2 other locations,"Company Culture, Job Security, Work Satisfaction",
Radium Creation,4.2,(256),Navi Mumbai +5 other locations,"Salary & Benefits, Company Culture, Work Life Balance",
Bharat IT Services,3.3,(256),IT Services & Consulting | Noida +45 other locations,,"Promotions / Appraisal, Salary & Benefits, Job Security"
AM Infoweb,3.6,(256),IT Services & Consulting | Pune +4 other locations,,"Work Satisfaction, Job Security"
Shiprocket Private Limited,3.4,(258),Internet | Delhi +8 other locations,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Sundaram Auto Components,4.1,(256),Auto Components | Bhiwadi +17 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction",
Azentio,3.2,(256),Software Product | Singapore +15 other locations,,"Promotions / Appraisal, Salary & Benefits, Job Security"
Planetcast,3.8,(256),Media & Entertainment | Noida +11 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Epsilon Carbon,3.7,(256),Chemicals | Mumbai +13 other locations,Salary & Benefits,Promotions / Appraisal
Shaw Toyota,4.9,(255),Automobile | Pune +3 other locations,"Company Culture, Skill Development / Learning, Work Satisfaction",
Yodlee,3.8,(255),Software Product | Redwood City +4 other locations,"Work Life Balance, Company Culture, Salary & Benefits","Skill Development / Learning, Work Satisfaction, Promotions / Appraisal"
Council of Scientific and Industrial Research,4.4,(255),Government | New Delhi +38 other locations,"Work Life Balance, Skill Development / Learning, Company Culture","Promotions / Appraisal, Job Security"
Allanasons,3.8,(255),Food Processing | Mumbai +29 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Polyplastics Industries (I),3.8,(255),Auto Components | Tokyo +15 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Essae Teraoka,3.6,(255),Electronics Manufacturing | Bangalore/Bengaluru +53 other locations,,"Promotions / Appraisal, Salary & Benefits"
Moody's Analytics,3.9,(255),Analytics & KPO | New York +5 other locations,"Work Life Balance, Salary & Benefits, Job Security",Promotions / Appraisal
eMudhra,3.9,(256),Software Product | Bangalore/Bengaluru +14 other locations,,
InvestoXpert,4.6,(255),Real Estate | Noida +11 other locations,"Company Culture, Skill Development / Learning, Work Life Balance",
Sri Sri Tattva,3.6,(255),FMCG | Bangalore/Bengaluru +47 other locations,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Sterling Tools,3.7,(255),Automobile | Faridabad +12 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
MR.DIY,3.3,(256),Retail | Bareilly +50 other locations,,"Work Satisfaction, Company Culture, Work Life Balance"
ScoreMe Solutions,4.4,(255),Software Product | Noida +4 other locations,"Promotions / Appraisal, Salary & Benefits, Company Culture",
Hewlett Packard Globalsoft,3.9,(254),Bangalore / Bengaluru +7 other locations,Company Culture,"Promotions / Appraisal, Salary & Benefits"
Belstar Microfinance,4.1,(254),NBFC | Ramanagara +116 other locations,"Work Life Balance, Skill Development / Learning, Work Satisfaction",
Nordusk Led,4.9,(254),Electronics Manufacturing | Kolkata +11 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",
ZIGRAM,4.0,(254),Software Product | Gurgaon/Gurugram +2 other locations,"Job Security, Company Culture, Skill Development / Learning",
Signode,4.0,(254),Glenview +33 other locations,"Job Security, Work Life Balance, Company Culture",
Tata ClassEdge,3.4,(254),EdTech | Mumbai +47 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Alicon Castalloy,3.5,(254),Auto Components | Pune +9 other locations,,"Company Culture, Work Life Balance, Job Security"
Thermax Babcock Wilcox Energy Solutions,4.3,(254),Industrial Machinery | Pune +25 other locations,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
Quantzig,4.9,(254),Analytics & KPO | Bangalore Rural +1 other locations,"Salary & Benefits, Promotions / Appraisal, Skill Development / Learning",
Enphase Energy,3.0,(254),Power | Fremont +8 other locations,,"Job Security, Promotions / Appraisal, Work Life Balance"
MobileComm Technologies India,3.8,(254),Telecom | Richardson +28 other locations,,"Promotions / Appraisal, Job Security"
QBurst Technologies,4.4,(254),Software Product | Chantilly +10 other locations,"Work Life Balance, Job Security, Company Culture",
Apollo Clinic,4.1,(253),Healthcare | Hyderabad +35 other locations,"Work Life Balance, Skill Development / Learning, Job Security",
DCDC Kidney Care,4.3,(253),Healthcare | Delhi +59 other locations,"Work Life Balance, Skill Development / Learning, Company Culture",
Arena Animation,3.7,(253),Education & Training | Mumbai +57 other locations,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Hays Business Solutions,3.8,(253),Recruitment | Gurgaon +9 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
ABI Showatech,3.7,(253),Auto Components | Chennai +11 other locations,,"Promotions / Appraisal, Salary & Benefits, Job Security"
Rama University,4.4,(253),Kanpur +12 other locations,"Skill Development / Learning, Work Life Balance, Company Culture",
Bliss Gvs Pharma,4.2,(253),Pharma | Mumbai +8 other locations,"Job Security, Salary & Benefits, Company Culture",
Springer Nature in India,4.0,(253),Printing & Publishing | Berlin +3 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
MMC Infotech Services,3.6,(253),IT Services & Consulting | Chennai +5 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Doha Petroleum Construction Company,3.9,(253),Oil & Gas | Doha +9 other locations,"Job Security, Work Satisfaction, Work Life Balance",Promotions / Appraisal
Electrical Research & Development Association,4.1,(253),Electrical Equipment | Vadodara/Baroda +22 other locations,"Work Life Balance, Job Security, Skill Development / Learning",
Suburban Diagnostics,3.8,(253),Healthcare | Mumbai +13 other locations,,"Promotions / Appraisal, Salary & Benefits"
Rainbow Childrens Hospital,3.9,(253),Healthcare | Hyderabad/Secunderabad +14 other locations,"Skill Development / Learning, Company Culture",Promotions / Appraisal
Alkyl Amines,4.3,(253),Chemicals | Mumbai +13 other locations,"Job Security, Skill Development / Learning, Company Culture",
BIC Cello,4.0,(253),Other | Mumbai +41 other locations,"Work Life Balance, Salary & Benefits",Promotions / Appraisal
Kanpur Fertilizers & Chemicals,3.9,(253),Agro Chemicals | Kanpur +25 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Oceaneering International,4.1,(252),Engineering & Construction | Houston +5 other locations,"Work Life Balance, Job Security, Company Culture",
Arjas Steel,4.2,(252),Iron & Steel | Bengaluru +16 other locations,"Job Security, Work Life Balance, Company Culture",
MSD Pharmaceuticals,4.1,(252),Pharma | Gurgaon/Gurugram +46 other locations,"Salary & Benefits, Skill Development / Learning, Company Culture",
SBI Capital Markets,3.7,(251),Mumbai +79 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Indifi Technologies,3.8,(251),FinTech | Gurgaon +10 other locations,Company Culture,Promotions / Appraisal
FoodPanda,3.7,(251),Internet | Berlin +20 other locations,Salary & Benefits,"Job Security, Promotions / Appraisal"
Dainik Jagran,3.5,(251),Printing & Publishing | Noida +50 other locations,,"Promotions / Appraisal, Salary & Benefits, Job Security"
Minda Kosei Aluminum Wheel,4.1,(252),Auto Components | Bawal +14 other locations,"Job Security, Skill Development / Learning, Work Life Balance",
Sub-K IMPACT Solutions,4.0,(251),Financial Services |  Hyderabad +90 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Military Engineer Services,4.4,(252),Engineering & Construction | Delhi/NCR +67 other locations,"Work Life Balance, Job Security, Work Satisfaction",
Aptus Value Housing Finance India,4.1,(251),NBFC | Chennai +100 other locations,"Work Satisfaction, Work Life Balance, Company Culture",
Enser Communications,3.7,(251),IT Services & Consulting | Navi Mumbai +12 other locations,,Promotions / Appraisal
TowerVision India,4.0,(251),Telecom | Chennai +30 other locations,"Work Life Balance, Salary & Benefits",Promotions / Appraisal
HyperCITY,4.3,(250),Retail | Mumbai +21 other locations,"Company Culture, Salary & Benefits, Work Satisfaction",
